Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
Forever Winter	Taylor Swift	"He says he doesn't believe anything much he hears these daysHe says, ""Why fall in love, just so you can watch it go away?""He spends most of his nights wishing it was how it used to beHe spends most of his flights getting pulled down by gravityI call just checkin' up on himHe's up, 3 AM pacin'He says, ""It's not just a phase I'm in""My voice comes out beggin'All this time I didn't knowYou were breakin' downI'd fall to pieces on the floorIf you weren't aroundToo young to know it gets betterI'll be summer sun for you foreverForever winter if you goHe seems fine most of the time, forcing smiles and nevermindsHis laugh is a symphony, when the lights go out, it's hard to breatheI pull at every thread, tryna solve the puzzles in his headLive my life scared to death he'll decide to leave insteadI call just checkin' up on himHe's up, 5 AM wastedLong gone, not even listeningMy voice comes out screamin'All this time I didn't knowYou were breakin' downI'd fall to pieces on the floorIf you weren't aroundToo young to know it gets betterI'll be summer sun for you foreverForever winter if you goIf I was standin' there in your apartmentI'd take that bomb in your head and disarm itI'd say I love you even at your darkestAnd please don't goI didn't knowYou were breakin' downI'd fall to pieces on the floorIf you weren't aroundToo young to know it gets betterI'll be summer sun for you foreverForever winter if you goI'll be your summer sun foreverAt 3 AM pacin'All this time I didn't knowAt 5 AM wastedI'd be in pieces on the floorForever winter if you goHe says he doesn't believe anything much he hears these daysI say, ""Believe in one thing, I won't go away"""	No	Depression	Loneliness	Sadness	Longing	Heartache	Support	Love	0.57	0.55	0.29	0.41	0.21	0.21
Betcha Gon’ Know (The Prologue)	Mariah Carey	"Whoa, welcome to a day of my life, day of my lifeThe memoirs of an imperfect angelWhoa, welcome, welcome, welcome to a day of my lifeThe memoirs of an imperfect angelThough the lights were lowI could see you both in a lover's silhouetteAnd my heart stood still, I was frozen right thereStaring down at her red dressSo I bolted out the door, jumped right into the carIt's too dangerous to be in the vicinity of where you areRolled down all the windows just so I could breatheCan't believe you just actually did this shit to meI'm going 'bout a hundred, mascara runnin'Laughing out of anger, but it don't strike me as funnyBeen too good to you, I've been virtuous and trueTo have something like this happen in my own bedroom  Betcha gon' know though how it feels(When I get you back)Betcha gon' know though how it feels(When your heart's been cracked)Betcha gon' know though how it feels(When we fade to black)How it feels for realAnd you see your whole world collapseAnd I'm gon' la-la-la-la-la-laughAnd I'm gon' la-la-la-la-la-laughAnd I'm gon' la-la-la-la-la-laugh right in your face, boyBetcha gon' know though how it feelsSo I pulled to the side of the road to fix my faceBut I can't cover with make up what my tears want to eraseI wake up in a haze, morning dew and sun raysAs I drive, I hide my eyes behind my black Cavalli ShadesA block from the house slowly creep in the drivewayTip toe through the door, but you're there wide awakeYou're like: ""Where you been?""I'm like: ""Sorry, but I fell asleep on Jasmine's sofaI could've swore that Rae Rae called you and told ya""You're like: ""You OK?""I'm like: ""I'm alright, little sleep and I'll be fine.""But if you only knew what was in the back of my mindYou already stung, but you really gon' find out in timeBetcha gon' know though how it feels(When I get you back)Betcha gon' know though how it feels(When your heart's been cracked)Betcha gon' know though how it feels(When we fade to black)How it feels for realThis is for real, for real, for realOprah Winfrey, whole segment, for real, for real20/20, Barbara Walters, for real, for real60 Minutes, for realBaby, I had all my trust in youAnd look at what you put me throughYou got me all crazySomewhere down the line, you're gon' get what you deserveYou fucking jerkYou were supposed to save me, my sweet babyNow we're fading awayBut your gonna know how this feelsEven if it's the last thing I ever doTo be continued "	Yes	Cheating	Cheating	Betrayal	Empowerment	Cheating	Cheating	Betrayal	1.0	0.44	0.13	1.0	1.0	0.44
A Man and a Woman	U2	Little sister, don't you worry about a thing todayTake the heat from the sunLittle sisterI know that everything is not okayBut you're like honey on my tongueTrue love never can be rentBut only true love can keep beauty innocentI could never take a chanceOf losing love to find romanceIn the mysterious distanceBetween a man and a womanNo, I could never take a chance'Cause I could never understandThe mysterious distanceBetween a man and a womanYou can run from loveAnd if it's really love it will find youCatch you by the heelBut you can't be numb for loveThe only pain is to feel nothing at allHow can I hurt when I'm holding you?I could never take a chanceOf losing love to find romanceIn the mysterious distanceBetween a man and a womanAnd you're the one, there's no-one elseIt makes me want to lose myselfIn the mysterious distanceBetween a man and a womanBrown-eyed girl across the streetOn rue Saint DivineI thought this is the one for meBut she was already mineYou were already mineLittle sisterI've been sleeping in the street againLike a stray dogAnd little sisterI've been trying to feel complete againBut you're gone and so is GodThe soul needs beauty for a soul mateWhen the soul wants, the soul waitsBut I could never take a chanceOf losing love to find romanceIn the mysterious distanceBetween a man and a womanFor love and faith and sex and fearAnd all the things that keep us hereIn the mysterious distanceBetween a man and a womanYou'll see, you'll seeHow can I hurt when I'm holding you?	Yes	Cheating	Love	Love	Love	Love	Love	Love	0.27	0.27	0.27	0.27	0.27	0.27
Between the Cheats	Amy Winehouse	I would die before I divorce yaI'd take a thousand thumpsFor my love'Cause yaKiss a lucky horseshoeStuck it in my boxing glove'Cause anyoneWho will see usThrough our victoryAnd dumb defeatKnows that I'll take you to the cleanersIf you come between the cheatsBetween the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-ohhh (Wooh-hoo-ooh-ooh-ooh-ooh)Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-Ohhh (Ooh-wee)My husband isThe fine handsome hustlerAnd he still makeThis housewife blushSo I'm lockin'My hand in hisI'm sitting onThe royal flushWomen drink him inSwimming in his green eyesThen go homeAnd cash the chips you gotAnd take your bad beat to-oOh, to a bottleThe jack of hearts is my jackpotBetween the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-ohhh (Wooh-hoo-ooh-ooh-ooh-ooh)Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-Ohhh (Ooh-wee-oooh)'Cause we all have to lock eyesAnd I know as my heart beatsThere's a winning secret to bothAnd it's swornBetween the cheats...Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-ohhh (Wooh-hoo-ooh-ooh-ooh-ooh)Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-Ohhh (Ooh-wee-oooh)Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-ohhh (Wooh-hoo-ooh-ooh-ooh-ooh)Between the cheatsWoah-ah-ohhh (Wooh-hoo)Ohhh-Ohhh (Ooh-wee-oooh)	Yes	Cheating	Cheating	Betrayal	Betrayal	Cheating	Cheating	Infidelity	1.0	0.44	0.44	1.0	1.0	0.62
Cold Shoulder	Adele	You say it's all in my headAnd the things I think just don't make senseSo where you been then? Don't go all coyDon't turn it 'round on me like it's my faultSee I can see that look in your eyesThe one that shoots me each and every time (each and every time)You grace me with your cold shoulderWhenever you look at me I wish I was herYou shower me with words made of knivesWhenever you look at me I wish I was herThese days when I see youYou make it look like I'm see-throughDo tell me why you waste our timeWhen your heart ain't in it, and you're not satisfiedYou know I know just how you feelI'm starting to find myself feeling that way tooWhen you grace me with your cold shoulderWhenever you look at me I wish I was herYou shower me with words made of knivesWhenever you look at me I wish I was herTime and time again, I play the role of fool(Just for you)Even in the daylight when you think that(I don't see you)Try to look for things I hear but our eyes never findThough I do know how you playYou grace me with your cold shoulderWhenever you look at me I wish I was herYou shower me with words made of knivesWhenever you look at me I wish I was herYou grace me with your cold shoulderWhenever you look at me I wish I was herYou shower me with words made of knivesWhenever you look at me I wish I was her	Yes	Cheating	Heartache	Rejection	Rejection	Heartache	Heartache	Heartbreak	0.29	0.22	0.22	0.29	0.29	0.32
Confession	Destiny's Child	Ooh-ooh (uh)Ooh-ooh, ooh (uh uh uh)Ooh-oh no, ooh (say what?)Ooh-ooh no-no (verse one)The day you pissed me off, I told Mike to pick me up (uh)I told him you was buggin' and I don't like to fuss (uh)He said he would look out for me if I needed a friend (uh)He took me to his house and then he invited me in (say what?)Then we sat on the couch, he put his arms around my waist (uh)Knowin' I need lovin', then he gently grabbed my face (uh)He kissed me like a guy could never kiss a girl beforeSo, you know what happened, baby, I need to say no moreI'm just confessing (confessing)'Bout the things I did (oh yeah)I might as well come clean (yeah, yeah)What you feel about that, baby?I'm just confessing (yeah)'Bout the things I did (whoa-oh, oh-oh)I might as well come clean (come clean)What you feel about that, baby?I'm just guessing (guessing, yeah)That you're through with me'Cause I just came clean (please don't be through with me)What you feel about that, baby?I'm just guessingAre you through with me? (Are you through with me?)'Cause I just came clean (yeah)What you feel about that? (Verse two)Remember the time you wondered where your money went? (Uh-huh)I called my friends and bought some clothes and took them on a tripI met a dude that had a Jeep and we talked all the timeHe asked me 'bout my man and you know that I had to lieHe thought I had no man and I was chillin' by myselfDon't get mad, 'cause I felt sad, that's why I must confessToo many times I wanted to let you know my dirtBut every time you said you loved me,I knew it would hurtI'm just confessing (Confessing, yeah)'Bout the things I did (Oh-whoa)I might as well come clean (Come clean)What you feel about that, baby? (Oh-ooh)I'm just confessing (Confessing)'Bout the things I did (Yeah)I might as well come clean (Come clean, hey)What you feel about that, baby? (Come clean, hey-yeah)I'm just guessingThat you're through with me (are you through with me?)'Cause I just came clean (came clean)What you feel about that, baby?I'm just guessing (guessing)Are you through with me? (Are you through with me?)'Cause I just came cleanWhat you feel about that? (Ooh, hey le-le-le-le-looh)I was mad, what was I to do? (Hey)I never had it in mind to play on you (oh-ooh)But look at all the hurt you put me through (whoa)I can't tell a lie, so I'm tellin' the truth (oh-ooh)I was mad, what was I to do? (Say what?)I never had it in mind to play on you (uh)But look at all the hurt you put me throughYou know, you know (you know You know)I was mad, what was I to do? (I to do)I never had it in mind to play on you (play on you)But look at all the hurt you put me through (oh-ooh)I can't tell a lie, so I'm tellin' the truth (No no, no-ooh)I was mad, what was I to do? (Oh-ooh)I never had it in mind to play on you (hey)But look at all the hurt you put me through (oh)You know, you know (oh-ooh, oh-ooh)I'm just confessing (confessing)'Bout the things I did (things I did)I might as well come clean (come clean)What you feel about that, baby?I'm just confessing (confessing)'Bout the things I did (things I did)I might as well come clean (oh-ooh, oh)What you feel about that, baby? (Hey-yeah)I'm just guessingThat you're through with me (are you through with me, oh?)'Cause I just came clean (came clean)What you feel about that, baby?I'm just guessing (guessing)Are you through with me?'Cause I just came clean (oh)What you feel about that? (ooh-yeah)ConfessCome clean, booYo, what you feel about that?What you feel about, uhWhat you feel about that?Huh, confessin', babyMisdemeanor, Destiny, uh-uh-uhI'm just guessingThat you're through with me'Cause I just came clean  What you feel about that, baby?I'm just guessingAre you through with me?Thou shall not bug 	Yes	Cheating	Friendship	Guilt	Secrets	Cheating	Cheating	Guilt	0.36	0.4	0.42	1.0	1.0	0.4
Muddy Feet	Miley Cyrus	I don't know who the hell you think you're messing withGet the fuck outta my house with that shitGet the fuck out of my life with that shitAnd I don't know who the hell you think you're messing withGet the fuck outta my house with that shitGet the fuck out of my life with that shitYou smell like perfume that I didn't purchaseNow I know why you've been closing the curtains, ahGet the fuck out of my houseYou're coming 'round with your muddy feetI'm about to do something about itYeah, I'ma have to do something 'bout itYou keep coming 'round with your muddy feetYeah, I'ma have to do something 'bout itI'm about to do something about itBack and forth, always questioning my questioningGet the fuck out of my head with that shitGet the fuck out of my bed with that shitYou've watered the weeds and you killed all the rosesWorthy arrives when the other door closes, ahSo get the fuck out of my house with that shitYou're coming 'round (coming 'round, baby) with your muddy feetI'm about to do something about it (what I do)Yeah, I'ma have to do something 'bout it (what I do)And I don't know who you're messin' withYeah, I'ma have to do something 'bout it (what I do)I'm about to do something about it (what I do)Whoa, whoaWhoa, whoa, you're coming aroundYou're coming around, baby (what I do, what I do)The fuck out of my house with that shit	No	Cheating	Loneliness	Liberation	Liberation	Heartache	Anger	Anger	0.27	0.08	0.08	0.29	0.34	0.34
I Heard You’re Married	The Weeknd ft. Lil Wayne	YeahYeah, yeah (ah)Oh, oh yeahMm, mmThe way you hypnotized me, I could tell (uh)You've been in controlYou manifested this, but girl, I blame myselfThings I shoulda knownThe whispers that I hearAre blowing through my earsThese words I need to hear from youAnd I know this is a flingBut you're hiding someone's ringIt hurts to think I'm sharing youOoh, I heard you're married, girlAnd I knew that this was too good to be trueOoh, I heard you're married, girl, oh, oh, ohIf you don't love him (oh no)Then do yourself a favor and just leave himYour number in my phone, I'm gon' delete itGirl, I'm way too grown for that deceiving'Cause I don't play, I don't playNow I'm sure you have your issues and your reasons (reasons)But why you even with him if you're cheating? (Cheating)And I thought you were someone that I could be with (yeah)And it kills me that I'm sharing youOh, I heard you're married, girlI knew that this was too good to be trueOoh, I heard you're married, girl, oh, oh, ohAnd I hate itOoh, I heard you're married, girl (married, girl)The way you had me wrapped around your fingertipOoh, I heard you're married, girl, oh, oh, ohI can't be with youNo, I can't be with youYou're too deceiving, girl, oh (ooh)I can't be with you (yeah)No, I can't be with youYou're too deceiving, girl, oh (yeah)Uh, can't be your side bitchThat shit ain't fly, bitchCan't be your pilotCan't be your privateMake me your obviousIf I ain't your husband, I can't be your hybridI heard you're marriedI bet he treats you like Virgin MaryYou like it dirty and I'm Dirty HarryI thought we were some love birds, canariesWord to LarryBut I can't fuck with youYou put my love on the line and hang up on youThat's a long kiss goodbye, I gotta tongue kiss youAnd when doves cry, we ain't got enough tissueI'm still in love with youWhere the love at?You walk down the aisle, I can make you run backLike fuck that, where the love at?Tell hubby I'll kill him, no hub capWhoa, whoa (whoa, whoa)Oh, I heard you're married, girl (married, girl)I knew that this was too good to be trueOh, I heard you're married, girl, oh, oh, oh (whoa, whoa)And I hate it (I hate it)Ooh, I heard you're married, girl (married, girl)The way you had me wrapped around your fingertip (your fingertip)Oh, I heard you're married, girl (I heard you're married)Oh, oh, oh (and, baby, I hate it)I can't be with youNo, I can't be with youYou're too deceiving, girl, oh (ooh, yeah)I can't be with youNo, I can't be with youYou're too deceiving, girl (ooh, ooh, woo)I can't be with you (oh yeah)No, I can't be with youYou're too deceiving, girl, oh (talk to me, say)I can't be with youNo, I can't be with youYou're too deceiving, girl (oh)	No	Cheating	Cheating	Infidelity	Curiosity	Cheating	Cheating	Betrayal	1.0	0.62	0.23	1.0	1.0	0.44
She Don’t Know	Carrie Underwood	She smiles at me all prettyWalkin' up to me down aisle fiveI wave and I smile backAnd I can feel her eyes on meShe's checking me out in the checkout lineCabernet in a paper bagYeah, and she's the reasonHe'll tell me he's working lateAnd I'll go home and cook him dinnerPour the wine and sit up and wait, yeahWhat she don't know is I know what she's been up toI bet she thinks she got me played for a foolBut the joke's on her, in that bed she's lyin' inWhat she don't know, she don't knowIs she can have himOohAnd I know what's been going onBehind closed doors in room 310From the laundry I've been foldin'I can still smell that strong cologneHe puts on to hide the Virginia SlimThat she's been smokin'But there's a cruel world awaitin'Outside of them motel sheets'Cause he'll find himself another JezebelAnd she'll end up just like me, yeahWhat she don't know is I know what she's been up toI bet she thinks she got me played for a foolBut the joke's on her, in that bed she's lyin' inWhat she don't know, she don't knowIs she can have him, she can have himYeah, she can have this ring I'm slipping offAnd this house I'm tired of cleanin'She can have it all and have a ballWith this worthless piece I'm leavingMm, what she don't know is I know what she's been up toI bet she thinks she got me played for a foolBut the joke's on her, in that bed that she's lyin' inWhat she don't know, she don't knowIs she can have himShe can have himOoh, she can have himShe can have him	No	Cheating	Love	Confusion	Ignorance	Cheating	Cheating	Infidelity	0.27	0.27	0.34	1.0	1.0	0.62
One Right Now	Post Malone* ft. The Weeknd	Na-na-na-na, na-naNa-na-na-na, noYeah, yeahSaid you love, me but I don't careThat I broke my hand on the same wallThat you told me that he fucked you on (oh)You think it's so easy fuckin' with my feelingsI got one comin' over and one right now (oh)One right now(One right now, one right now, ohh)I got one comin' over and one right nowSaid you wanna have my babiesI fucked you so good, you should pay meDon't call me baby when you did me so wrong (you did me so wrong, ooh)But I got over what you did alreadyBody for body, I'm so pettyHow many of your friends fit in my Rolls? (Can you fit in my Rolls?)Bought you a new face, you should call me Dad, babyHermés, but you dropped the bag, babyTruth is, maybe one's just not enoughYou say you love me, but I don't careThat I broke my hand on the same wallThat you told me that he fucked you on (that he fucked you on)You think it's so easy fuckin' with my feelings (feelings)I got one comin' over and one right now (oh)One right now (hey, hey, hey, hey)(One right now, one right now, oh)I got one comin' over and one right now(Yeah, yeah, yeah)(One right now, one right now, ohh)I got one comin' over and one right nowYou're a stain on my legacyWe can't be friends, can't be family (oh)You probably fuck all my enemies (ooh)I can't let you be next to me, ohYou belong to the world nowSo just leave me alone nowWe're not in touch no moreYou say you love me, but I don't care (no, I don't care, oh)That I broke my hand on the same wallThat you told me that he fucked you on (oh)You think it's so easy fuckin' with my feelingsI got one comin' over and one right nowOne right now (oh yeah, oh yeah, oh yeah)(Fuckin' with my, fuckin' with my feelings)I got one comin' over and one right now(Ooh, yeah, oh, yeah, oh, yeah)(One right now)I got one comin' over and one right nowOh(One right now, one right now)(Ooh, yeah) I got one comin' over and one right now	No	Cheating	Love	Passion	Desire	Love	Relationship	Relationship	0.27	0.23	0.29	0.27	0.4	0.4
High Infidelity	Taylor Swift	Lock broken, slur spokenWound open, game tokenI didn't know you were keeping countRain soaking, blind hopingYou said I was freeloadingI didn't know you were keeping countHigh infidelityPut on your records and regret meI bent the truth too far tonightI was dancing around, dancing around itHigh infidelityPut on your headphones and burn my cityYour picket fence is sharp as knivesI was dancing around, dancing around itDo you really want to know where I was April 29th?Do I really have to chart the constellations in his eyes?Storm coming, good husbandBad omenDragged my feet right down the aisleAt the house lonely, good moneyI'd pay if you'd just know meSeemed like the right thing at the timeYou know there's many different ways that you can kill the one you loveThe slowest way is never loving them enoughDo you really want to know where I was April 29th?Do I really have to tell you how he brought me back to life?High infidelityPut on your records and regret meI bent the truth too far tonightI was dancing around, dancing around itHigh infidelityPut on your headphones and burn my cityYour picket fence is sharp as knivesI was dancing around, dancing around itDo you really want to know where I was April 29th?Do I really have to chart the constellations in his eyes?You know there's many different ways that you can kill the one you loveThe slowest way is never loving them enoughHigh infidelityPut on your records and regret meeting meI bent the truth too far tonightI was dancing around, dancing around itHigh infidelityPut on your headphones and burn my cityYour picket fence is sharp as knivesI was dancing around, dancing around itOh, there's many different ways that you can kill the one you loveAnd it's never enough, it's never enoughLock broken, slur spokenWound open, game tokenI didn't know you were keeping countRain soaking, blind hopingYou said I was freeloadingI didn't know you were keeping countBut oh, you were keeping count	No	Cheating	Cheating	Betrayal	Infidelity	Cheating	Cheating	Betrayal	1.0	0.44	0.62	1.0	1.0	0.44
A Different corner	George Michael	I'd say love was a magical flameI'd say love would keep us from painHad I been there, had I been thereI would promise you all of my lifeBut to lose you would cut like a knifeSo I don't dare, no I don't dare'Cause I've never come close in all of these yearsYou are the only one to stop my tearsAnd I'm so scared, I'm so scaredTake me back in time maybe I can forgetTurn a different corner and we never would have metWould you careI don't understand it, for you it's a breezeLittle by little you've brought me to my kneesDon't you careNo I've never come close in all of these yearsYou are the only one to stop my tearsI'm so scared of this loveAnd if all that there is, is this fear of being usedI should go back to being lonely and confusedIf I could, I would, I swear	Yes	Heartache	Love	Reflection	Reflection	Love	Love	Reflection	0.35	0.25	0.25	0.35	0.35	0.25
I Can’t Quit You Baby	Led Zeppelin	I can't quit you babySo I'm gonna put you down for awhileI said I can't quit you babyI guess I gotta put you down for awhileSaid you messed up my happy homeMade me mistreat my only childYes sir you did!Said you know I love you babyMy love for you I could never hideOh, you know I love you babyMy love for you I could never hideOh when I feel you near me little girlI know you are my one desireWhen you hear me moaning and groaning, babyYou know it hurts me deep down insideWhen you hear me moaning and groaning, babyYou know it hurts me deep down insideOh, when you hear me, honey, babyYou know you're my one desireYes, you are	Yes	Heartache	Love	Addiction	Addiction	Heartache	Heartache	Passion	0.35	0.43	0.43	1.0	1.0	0.39
All of Me	Frank Sinatra	You took my kisses and you took my loveYou taught me how to careAm I to be just the remnant of a one-sided love affair?All you took, I gladly gaveThere's nothing left for me to saveAll of me why not take all of meCan't you see I'm no good without youTake my lips I want to lose themTake my arms I'll never use themYour good bye left me with eyes that cryHow can I go on dear without youYou took the part that once was my heartSo why not take all of me	Yes	Heartache	Love	Love	Devotion	Love	Love	Love	0.35	0.35	0.33	0.35	0.35	0.35
Armatage Shanks	Green Day*	Stranded, lost inside myselfMy own worst friend and my own closest enemyI'm branded, maladjustedNever trusted anyone, let alone myselfI must insistOn being a pessimistI'm a loner in a catastrophic mindElected, the rejectedI perfect the science of the idiotNo meaning and no healingSelf-loathing freak and introverted deviotI must insistOn being a pessimistI'm a loner in a catastrophic mindSay whatever, oh, whoaOh, whoaSay whatever, oh, whoaOh, whoaShootStranded, lost inside myselfMy own worst friend and my own closest enemyElected, the rejectedI perfect the science of the idiotI must insistOn being a pessimistI'm a loner in a catastrophic mindI'm gettin' pissedI'm a worthless pessimistI'm a loner in a claustrophobic mind	Yes	Heartache	Drugs	Rebellion	Rebellion	Depression	Loneliness	Anger	0.25	0.29	0.29	0.41	0.69	0.52
Back to Black	Amy Winehouse	He left no time to regretKept his dick wetWith his same old safe betMe and my head highAnd my tears dryGet on without my guyYou went back to what you knewSo far removedFrom all that we went throughAnd I tread a troubled trackMy odds are stackedI'll go back to blackWe only said goodbye with wordsI died a hundred timesYou go back to herAnd I go back toI go back to usI love you muchIt's not enoughYou love blow and I love puffAnd life is like a pipeAnd I'm a tiny pennyRolling up the walls insideWe only said goodbye with wordsI died a hundred timesYou go back to herAnd I go back toWe only said goodbye with wordsI died a hundred timesYou go back to herAnd I go back toBlack, blackBlack, blackBlack, blackBlackI go back toI go back toWe only said goodbye with wordsI died a hundred timesYou go back to herAnd I go back toWe only said goodbye with wordsI died a hundred timesYou go back to herAnd I go back to black	Yes	Heartache	Heartache	Heartache	Regret	Heartache	Heartache	Heartbreak	1.0	1.0	0.55	1.0	1.0	0.85
Don’t You	Taylor Swift	Hey, I knew I'd run into you somewhereIt's been a while, I didn't mean to stareI heard she's nothin' like meI'm sure she'll make you happyBut don't youDon't you smile at me and ask me how I've beenDon't you say you've missed me if you don't want me againYou don't know how much I feel I love you stillSo why don't you, don't you?Ah, ah, ah, ah, ah, ah, ahSometimes I really wish that I could hate youI've tried, but that's just somethin' I can't doMy heart knows what the truth isI swore I wouldn't do thisBut don't youDon't you smile at me and ask me how I've beenDon't you say you've missed me if you don't want me againYou don't know how much I feel I love you stillSo why don't you, don't you?So I walk outta here tonightTry to go on with my lifeAnd you can say we're still friends(But I don't wanna pretend)So if I see you againDon't you (don't you)Don't you smile at me and ask me how I've beenDon't you (don't you), say you've missed me if you don't want me againYou don't (you don't), know how much I feel I love you stillSo why don't you, don't you?Ah, ah, ah, ahDon't you, ah, ah, ah	No	Heartache	Love	Longing	Longing	Heartache	Heartache	Heartbreak	0.35	0.56	0.56	1.0	1.0	0.85
Let Somebody Go	Coldplay	"We had a kind of love, I thought that it would never endOh my lover, oh my other, oh my friendWe talked around in circles, and we talked around and thenI loved you to the moon and back againYou gave everything this golden glowNow turn off all the stars 'cause this I knowThat it hurts like soTo let somebody goAll the storms we weathered, everything that we went throughNow, without you, what on earth am I to do?When I called the mathematicians and I asked them to explainThey said, ""Love is only equal to the pain""And when everything was going wrongYou could turn my sorrow into songOh, it hurts like soTo let somebody goTo let somebody goOh-oh-oh (oh-oh)Oh-oh-oh(Let somebody, let somebody go) yeahOh, oh-oh, when you love somebodyWhen you love somebodyGot to let somebody knowOh, oh-oh, when you love somebodyWhen you love somebodyGot to let somebody knowSo when you love somebodyWhen you love somebodyThen it hurts like soTo let somebody goIt hurts like soTo let somebody goBut you're still with me now, I know(Let somebody, let somebody go)Oh-oh-oh(Let somebody, let somebody go)But you're still with me now, I know"	No	Heartache	Heartache	Heartache	Release	Heartache	Heartache	Heartbreak	1.0	1.0	0.04	1.0	1.0	0.85
Hits Different	Taylor Swift	I washed my hands of us at the clubYou made a mess of meI pictured you with other girls in loveThen threw up on the streetLike waiting for a bus that never showsYou just start walkin' onThey say that if it's right, you knowEach bar plays our songNothing has ever felt so wrongOh my, love is a lieShit my friends say to get me byIt hits differentIt hits different this timeCatastrophic bluesMovin' on was always easy for me to doIt hits differentIt hits different 'cause it's you('Cause it's you)I used to switch out these Kens, I'd just ghostRip the Band-Aid off and skip town like an asshole outlawFreedom felt like summer then on the coastNow the sun burns my heart and the sand hurts my feelingsAnd I never don't cry (no, I never don't cry) at the barYeah, my sadness is contagious (my sadness is contagious)I slur your name 'til someone puts me in a carI stopped receiving invitationsOh my, love is a lieShit my friends say to get me byIt hits differentIt hits different this timeCatastrophic bluesMovin' on was always easy for me to doIt hits differentIt hits different 'cause it's you('Cause it's you)I find the artifacts, cried over a hatCursed the space that I neededI trace the evidence, make it make some senseWhy the wound is still bleedin'You were the one that I lovedDon't need another metaphor, it's simple enoughA wrinkle in time like the crease by your eyesThis is why they shouldn't kill off the main guyDreams of your hair and your stare and sense of beliefIn the good in the world, you once believed in meAnd I felt you and I held you for a whileBet I could still melt your worldArgumentative, antithetical dream girlI heard your key turn in the door down the hallwayIs that your key in the door?Is it okay? Is it you?Or have they come to take me away?To take me awayOh my, love is a lieShit my friends say to get me byIt hits different (it hits different)It hits different this timeCatastrophic bluesMovin' on was always easy for me to doIt hits different (it hits different)It hits different 'cause it's youOh, my, love is a lieShit my friends say to get me by'Cause it's youCatastrophic bluesMovin' on was always easy for me to doIt hits different (yeah)Hits different 'cause it's you	No	Heartache	Sex	Passion	Transformation	Heartache	Heartache	Heartbreak	0.16	0.39	0.17	1.0	1.0	0.85
